english,japanese,type,grade
egg,卵,noun,1
bag,カバン,noun,1
rose,バラ,noun,1
chair,いす,noun,1
bat,バット,noun,1
fish,魚,noun,1
notebook,ノート,noun,1
pencil,鉛筆,noun,1
dog,犬,noun,1
desk,机,noun,1
watch,腕時計,noun,1
mitt,ミット,noun,1
milk,牛乳,noun,1
flower,花,noun,1
door,ドア,noun,1
boat,ボート,noun,1
piano,ピアノ,noun,1
orange,オレンジ,noun,1
bird,鳥,noun,1
sheep,羊,noun,1
cup,カップ,noun,1
bus,バス,noun,1
apple,りんご,noun,1
fruit,果物,noun,1
car,自動車,noun,1
cake,ケーキ,noun,1
picture,絵，写真,noun,1
cat,猫,noun,1
stamp,切手,noun,1
plane,飛行機,noun,1
book,本,noun,1
racket,ラケット,noun,1
glass,コップ，ガラス,noun,1
bed,ベッド,noun,1
letter,手紙,noun,1
tape,テープ,noun,1
cap,帽子,noun,1
mail,郵便,noun,1
box,箱,noun,1
bread,パン,noun,1
doll,人形,noun,1
table,テーブル,noun,1
tree,木,noun,1
pen,ペン,noun,1
map,地図,noun,1
cow,雌牛,noun,1
pot,ポット,noun,1
camera,カメラ,noun,1
hand,手,noun,1
lemon,レモン,noun,1
yard,中庭,noun,1
bank,銀行，土手,noun,1
library,図書館,noun,1
hospital,病院,noun,1
hotel,ホテル,noun,1
village,村,noun,1
kitchen,台所,noun,1
wall,壁,noun,1
park,公園,noun,1
girl,少女,noun,1
father,父,noun,1
doctor,医者,noun,1
pilot,パイロット,noun,1
man,男の人,noun,1
cook,料理人,noun,1
sister,姉妹,noun,1
mother,母,noun,1
city,市，都会,noun,1
window,窓,noun,1
church,教会,noun,1
school,学校,noun,1
country,国，いなか，地方,noun,1
office,事務所,noun,1
garden,庭,noun,1
town,町,noun,1
brother,兄弟,noun,1
woman,女性,noun,1
citizen,市民,noun,1
parent,親,noun,1
student,学生,noun,1
clerk,店員,noun,1
family,家族,noun,1
teacher,先生,noun,1
player,選手，演奏者,noun,1
floor,床，階,noun,1
store,店,noun,1
station,駅,noun,1
house,家,noun,1
field,野原，競技場,noun,1
Japan,日本,noun,1
gate,門,noun,1
room,部屋,noun,1
aunt,おば,noun,1
boy,少年,noun,1
son,息子,noun,1
nurse,看護婦,noun,1
friend,友人,noun,1
uncle,おじ,noun,1
singer,歌手,noun,1
daughter,娘,noun,1
evening,晩,noun,1
morning,朝,noun,1
night,夜,noun,1
noon,正午,noun,1
tomorrow,明日,noun,1
time,時，～回,noun,1
afternoon,午後,noun,1
diary,日記,noun,1
meal,食事,noun,1
breakfast,朝食,noun,1
lunch,昼食,noun,1
dinner,夕食,noun,1
supper,夕食,noun,1
walk,散歩,noun,1
work,仕事，作品,noun,1
basketball,バスケットボール,noun,1
baseball,野球,noun,1
tennis,テニス,noun,1
homework,宿題,noun,1
season,季節,noun,1
spring,春,noun,1
summer,夏,noun,1
autumn,秋,noun,1
fall,秋,noun,1
winter,冬,noun,1
minute,分，ちょっとの間,noun,1
week,週,noun,1
month,月,noun,1
year,年,noun,1
hour,時間,noun,1
day,日,noun,1
January,１月,noun,1
February,２月,noun,1
March,３月,noun,1
April,４月,noun,1
May,５月,noun,1
June,６月,noun,1
July,７月,noun,1
August,８月,noun,1
September,９月,noun,1
October,１０月,noun,1
November,１１月,noun,1
December,１２月,noun,1
Sunday,日曜日,noun,1
Monday,月曜日,noun,1
Tuesday,火曜日,noun,1
Wednesday,水曜日,noun,1
Thursday,木曜日,noun,1
Friday,金曜日,noun,1
Saturday,土曜日,noun,1
like,好む,verb,1
look,見る，～に見える,verb,1
read,読む,verb,1
drink,飲む,verb,1
walk,歩く,verb,1
wash,洗う,verb,1
run,走る,verb,1
stop,止める，止まる,verb,1
have,持っている，食べる,verb,1
wait,待つ,verb,1
collect,集める,verb,1
send,送る,verb,1
come,来る,verb,1
want,欲しい,verb,1
do,する,verb,1
make,作る，～を～にする,verb,1
ride,乗る,verb,1
enjoy,楽しむ,verb,1
play,遊ぶ，(スポーツを)をする，演奏する,verb,1
sing,歌う,verb,1
speak,話す,verb,1
cook,料理する,verb,1
swim,泳ぐ,verb,1
write,書く，手紙を書く,verb,1
catch,捕まえる，(列車に)間に合う,verb,1
open,開ける,verb,1
move,動く，感動させる,verb,1
help,助ける,verb,1
buy,買う,verb,1
leave,去る，残す，置いて行く,verb,1
meet,会う,verb,1
live,住む，生きる,verb,1
work,働く,verb,1
go,行く,verb,1
know,知っている,verb,1
study,勉強する,verb,1
eat,食べる,verb,1
learn,学ぶ，覚える,verb,1
stand,立つ,verb,1
dance,踊る,verb,1
sell,売る,verb,1
arrive,到着する,verb,1
get,得る，着く，乗る,verb,1
put,置く,verb,1
stay,滞在する,verb,1
try,試す,verb,1
give,与える，(会などを)開く,verb,1
use,使う,verb,1
visit,訪問する,verb,1
need,必要とする,verb,1
sad,悲しい,verb,1
high,高い,verb,1
slow,遅い,verb,1
nice,すばらしい,verb,1
these,これらの,verb,1
all,すべての,verb,1
that,あの,verb,1
red,赤い,verb,1
green,緑の,verb,1
strong,強い，じょうぶな,verb,1
big,大きい,verb,1
fine,すばらしい，元気な，晴れた,verb,1
happy,幸福な，楽しい,adjective,1
busy,忙しい,adjective,1
sorry,残念な,adjective,1
honest,正直な,adjective,1
poor,貧乏な，かわいそうな，不十分な,adjective,1
later,後で,adjective,1
soon,すぐに,adjective,1
yesterday,昨日,adjective,1
o'clock,～時,adjective,1
already,すでに,adjective,1
up,上へ,adjective,1
there,そこに,adjective,1
well,よく，じょうずに,adjective,1
so,そんなに,adjective,1
slowly,ゆっくりと,adjective,1
yet,まだ(～でない),adjective,1
why,なぜ,adjective,1
best,一番良い,adjective,1
bad,悪い,adjective,1
clean,きれいな,adjective,1
fast,速い,adjective,1
large,大きい，広い,adjective,1
easy,やさしい，気楽に,adjective,1
tall,背の高い,adjective,1
some,いくつかの,adjective,1
early,早い,adjective,1
this,この,adjective,1
those,あれらの,adjective,1
warm,温暖な,adjective,1
cool,涼しい,adjective,1
new,新しい,adjective,1
short,短い，背が低い,adjective,1
little,小さい，幼い，ちょっとした,adjective,1
dark,暗い，黒い,adjective,1
old,年をとった，古い,adjective,1
careful,注意深い,adjective,1
junior,年下の，下級の,adjective,1
hungry,空腹の,adjective,1
ill,病気の,adjective,1
usually,ふつう,adjective,1
today,今日，現在,adjective,1
fast,速く,adjective,1
now,今,adjective,1
ago,前,adjective,1
where,どこに,adjective,1
home,家を(へ),adjective,1
much,ずっと，たいへん,adjective,1
yes,はい,adjective,1
also,もまた,adjective,1
not,～でない,adjective,1
together,一緒に,adjective,1
sick,病気で(の),adjective,1
kind,親切な,adjective,1
glad,うれしい,adjective,1
good,良い,adjective,1
young,若い,adjective,1
sometimes,時々,adjective,1
often,しばしば,adjective,1
early,早く,adjective,1
always,いつも,adjective,1
again,再び,adjective,1
far,遠くに，はるかに,adjective,1
here,ここに,adjective,1
very,非常に,adjective,1
how,どのくらい,adjective,1
too,～もまた，～すぎる,adjective,1
no,いいえ,adjective,1
beautiful,美しい,adjective,1
next,次の，隣の,adjective,1
long,長い,adjective,1
rich,金持ちの，豊かな,adjective,1
able,できる，有能な,adjective,1
hot,暑い,adjective,1
small,小さな,adjective,1
white,白い,adjective,1
black,黒い,adjective,1
TRUE,ほんとうの,adjective,1
much,多量の,adjective,1
every,毎～,adjective,1
many,多くの,adjective,1
cold,冷たい，寒い,adjective,1
famous,有名な,adjective,1
blue,青い,adjective,1
one,1,other,1
two,2,other,1
three,3,other,1
four,4,other,1
five,5,other,1
six,6,other,1
seven,7,other,1
eight,8,other,1
nine,9,other,1
ten,10,other,1
eleven,11,other,1
twelve,12,other,1
thirteen,13,other,1
fourteen,14,other,1
fifteen,15,other,1
sixteen,16,other,1
seventeen,17,other,1
eighteen,18,other,1
nineteen,19,other,1
twenty,20,other,1
thirty,30,other,1
forty,40,other,1
fifty,50,other,1
sixty,60,other,1
seventy,70,other,1
eighty,80,other,1
ninety,90,other,1
present,プレゼント,noun,1
way,道，方法,noun,1
west,西,noun,1
chance,機会,noun,1
age,年齢，時代,noun,1
right,右，権利,noun,1
half,半分,noun,1
north,北,noun,1
class,学級，授業,noun,1
danger,危険,noun,1
lot,たくさん,noun,1
south,南,noun,1
subject,科目，題目,noun,1
east,東,noun,1
number,数,noun,1
color,色,noun,1
line,線，列,noun,1
place,場所,noun,1
meter,メートル,noun,1
thing,こと・物,noun,1
name,名前,noun,1
science,科学,noun,1
left,左,noun,1
I,私は(が),pronoun,1
my,私の,pronoun,1
me,私を,pronoun,1
mine,私のもの,pronoun,1
you,あなたに(を)，あなたがたを,pronoun,1
your,あなたの，あなたがたの,pronoun,1
you,あなたは，あなたがたは,pronoun,1
yours,あなたのもの，あなたがたのもの,pronoun,1
he,彼は,pronoun,1
his,彼の,pronoun,1
him,彼を(に),pronoun,1
his,彼のもの,pronoun,1
she,彼女は,pronoun,1
her,彼女の,pronoun,1
her,彼女を（に）,pronoun,1
hers,彼女のもの,pronoun,1
it,それは,pronoun,1
its,それの,pronoun,1
it,それを(に),pronoun,1
we,私たちは,pronoun,1
our,私たちの,pronoun,1
us,私たちを(に),pronoun,1
ours,私たちのもの,pronoun,1
they,それらは，彼(女)らは,pronoun,1
their,彼(女)らの,pronoun,1
them,彼(女)らを(に),pronoun,1
theirs,彼(女)らのもの,pronoun,1
myself,私自身を,pronoun,1
yourself,あなた自身,pronoun,1
himself,彼自身,pronoun,1
herself,彼女自身,pronoun,1
itself,それ自身,pronoun,1
ourselves,私たち自身を,pronoun,1
themselves,彼(女)ら自身,pronoun,1
this,これは,pronoun,1
that,あれは,pronoun,1
these,これらは,pronoun,1
those,あれらは,pronoun,1
everyone,みんな,pronoun,1
someone,だれか,pronoun,1
nobody,だれも～ない,pronoun,1
none,何も(だれも)～ない,pronoun,1
everything,すべてのもの,pronoun,1
everybody,だれでもみな,pronoun,1
nothing,何も～ない,pronoun,1
both,両方,pronoun,1
all,みんな,pronoun,1
most,ほとんど,pronoun,1
who,だれ,pronoun,1
what,何,pronoun,1
which,どちら,pronoun,1
whose,だれの(もの),pronoun,1
something,何か,pronoun,1
face,顔,noun,2
clock,置き時計,noun,2
lion,ライオン,noun,2
foot,足,noun,2
gun,鉄砲,noun,2
hair,髪,noun,2
dictionary,辞書,noun,2
computer,コンピュータ,noun,2
radio,ラジオ,noun,2
baby,赤ん坊,noun,2
coin,硬貨,noun,2
knife,ナイフ,noun,2
arm,腕,noun,2
album,アルバム,noun,2
ship,船,noun,2
shoe,靴,noun,2
card,カード,noun,2
record,レコード,noun,2
glove,グローブ,noun,2
animal,動物,noun,2
hat,帽子,noun,2
pocket,ポケット,noun,2
mouth,口,noun,2
head,頭，先頭,noun,2
coat,コート,noun,2
rice,ご飯,noun,2
nose,鼻,noun,2
finger,指,noun,2
meat,肉,noun,2
shirt,シャツ,noun,2
bench,ベンチ,noun,2
eye,目,noun,2
leg,脚,noun,2
bath,風呂,noun,2
train,列車,noun,2
bicycle,自転車,noun,2
ball,ボール,noun,2
building,建物,noun,2
mouse,はつかねずみ,noun,2
child,子供,noun,2
chicken,ニワトリ,noun,2
leaf,葉,noun,2
money,お金,noun,2
coffee,コーヒー,noun,2
dish,皿，料理,noun,2
paper,紙，レポート,noun,2
ear,耳,noun,2
bridge,橋,noun,2
newspaper,新聞,noun,2
body,身体,noun,2
farm,農場,noun,2
market,市場,noun,2
college,大学,noun,2
top,頂上,noun,2
shop,店,noun,2
corner,かど,noun,2
center,中央,noun,2
people,人々,noun,2
life,生活，生命，人生,noun,2
word,言葉,noun,2
English,英語,noun,2
voice,声,noun,2
moon,月,noun,2
sky,空,noun,2
sea,海,noun,2
cloud,雲,noun,2
wind,風,noun,2
airport,空港,noun,2
ground,地面,noun,2
classroom,教室,noun,2
museum,博物館,noun,2
factory,工場,noun,2
land,陸地，土地,noun,2
member,会員,noun,2
last,最後,noun,2
question,質問,noun,2
story,話,noun,2
heart,心,noun,2
sport,スポーツ,noun,2
water,水,noun,2
sun,太陽,noun,2
tea,お茶,noun,2
star,星，スター,noun,2
street,通り,noun,2
America,アメリカ,noun,2
road,道,noun,2
island,島,noun,2
earth,地球，大地,noun,2
hill,丘,noun,2
wife,妻,noun,2
club,クラブ,noun,2
game,試合,noun,2
music,音楽,noun,2
hobby,趣味,noun,2
news,ニュース,noun,2
river,川,noun,2
light,光，明かり，信号,noun,2
lake,湖,noun,2
stone,石,noun,2
hundred,百,noun,2
guitar,ギター,noun,2
potato,じゃがいも,noun,2
belt,ベルト,noun,2
vegetable,野菜,noun,2
song,歌,noun,2
fun,楽しみ,noun,2
soccer,サッカー,noun,2
speech,演説,noun,2
business,商売,noun,2
health,健康,noun,2
idea,考え,noun,2
advice,忠告,noun,2
mistake,誤り,noun,2
feeling,感覚,noun,2
camp,キャンプ,noun,2
party,パーティー,noun,2
million,１００万,noun,2
tooth,歯,noun,2
TV,テレビ,noun,2
duck,あひる,noun,2
magazine,雑誌,noun,2
show,ショー,noun,2
trip,旅行,noun,2
travel,旅行,noun,2
police,警察,noun,2
success,成功,noun,2
peace,平和,noun,2
rock,ロック,noun,2
vacation,休暇,noun,2
dream,夢,noun,2
love,愛，愛する人,noun,2
picnic,ピクニック,noun,2
lesson,授業，課,noun,2
thousand,千,noun,2
photo,写真,noun,2
textbook,教科書,noun,2
video,ビデオ,noun,2
horse,馬,noun,2
war,戦争,noun,2
lie,嘘,noun,2
contest,コンテスト,noun,2
culture,文化,noun,2
job,仕事,noun,2
homeroom,ホームルーム,noun,2
smile,ほお笑み,noun,2
happiness,幸福,noun,2
football,フットボール,noun,2
hope,希望,noun,2
test,試験,noun,2
plan,計画,noun,2
capital,首都,noun,2
roof,屋根,noun,2
holiday,休日,noun,2
Christmas,クリスマス,noun,2
air,空気,noun,2
wood,木材,noun,2
cloth,布,noun,2
oil,油,noun,2
sound,音,noun,2
piece,断片,noun,2
circle,円,noun,2
program,番組,noun,2
dollar,ドル,noun,2
post,郵便,noun,2
noise,物音,noun,2
law,法律,noun,2
front,前,noun,2
port,港,noun,2
lady,婦人,noun,2
date,日付,noun,2
pond,池,noun,2
salt,塩,noun,2
gold,金,noun,2
ice,氷,noun,2
nature,自然,noun,2
planet,惑星,noun,2
part,部分,noun,2
food,食べ物,noun,2
seat,座席,noun,2
art,美術，芸術,noun,2
inside,内側,noun,2
math,数学,noun,2
mile,マイル,noun,2
kind,種類,noun,2
space,宇宙,noun,2
future,未来,noun,2
birthday,誕生日,noun,2
snow,雪,noun,2
rain,雨,noun,2
mountain,山,noun,2
grass,草,noun,2
sugar,砂糖,noun,2
fire,火,noun,2
gift,贈り物,noun,2
pet,ペット,noun,2
home,故郷，家,noun,2
language,言語,noun,2
example,例,noun,2
history,歴史,noun,2
side,側面,noun,2
fork,フォーク,noun,2
pie,パイ,noun,2
overcoat,オーバー,noun,2
mirror,鏡,noun,2
locker,ロッカー,noun,2
pants,ズボン,noun,2
chalk,チョーク,noun,2
key,鍵,noun,2
candy,キャンディー,noun,2
beer,ビール,noun,2
beef,牛肉,noun,2
medicine,薬,noun,2
phone,電話,noun,2
fool,馬鹿,noun,2
guest,客,noun,2
grandmother,祖母,noun,2
team,チーム,noun,2
eraser,消しゴム,noun,2
elevator,エレベーター,noun,2
rat,ネズミ,noun,2
bell,ベル,noun,2
rabbit,ウサギ,noun,2
butter,バター,noun,2
chain,くさり,noun,2
candle,ろうそく,noun,2
pork,ブタ肉,noun,2
neck,首,noun,2
peanut,ピーナッツ,noun,2
medal,メダル,noun,2
nest,巣,noun,2
grandfather,祖父,noun,2
fan,ファン,noun,2
person,人,noun,2
group,グループ,noun,2
machine,機械,noun,2
skirt,スカート,noun,2
ring,指輪,noun,2
band,バンド,noun,2
monkey,サル,noun,2
bar,棒，横木,noun,2
passport,パスポート,noun,2
shoulder,肩,noun,2
pig,ブタ,noun,2
clothes,服,noun,2
bear,クマ,noun,2
carpet,じゅうたん,noun,2
farmer,農場主,noun,2
sailor,船員,noun,2
gentleman,紳士,noun,2
king,王様,noun,2
find,見つける，～とわかる,adjective,2
decide,決心する,adjective,2
seem,～のように思われる,adjective,2
forget,忘れる,adjective,2
plan,計画する,adjective,2
see,見る，わかる，調査する,adjective,2
think,考える,adjective,2
believe,信じる,adjective,2
grow,成長する，になる，増加する，育てる，栽培する,adjective,2
talk,話す,adjective,2
fly,飛行機で行く，飛ぶ,adjective,2
hold,握る，開催する，差し出す,adjective,2
sleep,眠る,adjective,2
laugh,笑う,adjective,2
say,言う,adjective,2
hunt,狩りをする,adjective,2
wear,着る,adjective,2
watch,見る,adjective,2
care,気にする,adjective,2
understand,理解する,adjective,2
thank,感謝する,adjective,2
remember,思い出す，覚えている,adjective,2
listen,聴く,adjective,2
excuse,許す,adjective,2
love,愛する,adjective,2
draw,描く，引く,adjective,2
drive,運転する,adjective,2
ask,たずねる，頼む,adjective,2
clean,掃除する,adjective,2
climb,登る,adjective,2
call,電話をかける,adjective,2
wake,目が覚める,adjective,2
push,押す,adjective,2
cry,泣く,adjective,2
hear,聞く,adjective,2
hope,望む,adjective,2
discover,発見する,adjective,2
feel,感じる,adjective,2
worry,悩ませる,adjective,2
imagine,想像する,adjective,2
wish,望む,adjective,2
dislike,嫌う,adjective,2
teach,教える,adjective,2
shout,叫ぶ,adjective,2
sit,座る,adjective,2
throw,投げる,adjective,2
show,見せる,adjective,2
tell,教える，語る,adjective,2
enter,入る,adjective,2
answer,答える,adjective,2
dress,着る,adjective,2
sail,(船を)走らせる,adjective,2
happen,起こる,adjective,2
keep,保つ，～を(持ち)続ける,adjective,2
strike,打つ,adjective,2
name,名づける,adjective,2
fail,失敗する,adjective,2
rest,休息する,adjective,2
ski,スキーをする,adjective,2
join,参加する,adjective,2
win,勝つ,adjective,2
hurry,急ぐ,adjective,2
rise,起き上がる，のぼる,adjective,2
fall,落ちる,adjective,2
take,(時間が)かかる，連れて行く，持っていく，取る,adjective,2
end,終わる,adjective,2
begin,始まる(める),adjective,2
die,死ぬ,adjective,2
pay,支払う,adjective,2
paint,描く，(～に)ペンキを塗る,adjective,2
lend,貸す,adjective,2
kill,殺す,adjective,2
close,閉じる,adjective,2
start,出発する，～を始める,adjective,2
pick,選ぶ，摘む,adjective,2
turn,曲がる，回る，変化する,adjective,2
invite,招待する,adjective,2
build,建てる,adjective,2
practice,練習する,adjective,2
jump,跳ぶ,adjective,2
dry,乾く,adjective,2
mean,意味する,adjective,2
add,加える,adjective,2
pass,過ぎる，合格する，手渡す,adjective,2
test,試みる,adjective,2
carry,運ぶ,adjective,2
lose,失う，負ける,adjective,2
cut,切る,adjective,2
borrow,借りる,adjective,2
shop,買い物をする,adjective,2
advise,忠告する，助言する,adjective,2
skate,スケートをする,adjective,2
bring,持って来る,adjective,2
spend,費やす，過ごす,adjective,2
finish,終える,adjective,2
set,置く,adjective,2
change,変わる,adjective,2
shine,光る，輝く,adjective,2
rain,雨が降る,adjective,2
become,～になる,adjective,2
clever,利口な,adjective,2
angry,怒って,adjective,2
dear,親愛なる,adjective,2
strange,奇妙な,adjective,2
last,この前の，最後の,adjective,2
other,ほかの,adjective,2
absent,欠席の,adjective,2
ready,用意できている,adjective,2
right,正しい，右に,adjective,2
full,いっぱいの,adjective,2
weak,弱い,adjective,2
brown,茶色の,adjective,2
special,特別の,adjective,2
rainy,雨降りの,adjective,2
such,そのような,adjective,2
past,過去の,adjective,2
quiet,静かな,adjective,2
loud,(声の)大きい,adjective,2
free,自由な，ひまな,adjective,2
wonderful,すばらしい,adjective,2
useful,役に立つ,adjective,2
light,薄い,adjective,2
difficult,むずかしい,adjective,2
popular,人気のある,adjective,2
human,人間の,adjective,2
welcome,ようこそ,adjective,2
own,自分の,adjective,2
bright,明るい,adjective,2
deep,深い,adjective,2
different,違った,adjective,2
same,同じ,adjective,2
low,低い,adjective,2
main,主な,adjective,2
interesting,おもしろい,adjective,2
tired,疲れて,adjective,2
foolish,愚かな,adjective,2
well,健康な,adjective,2
usual,通常の,adjective,2
afraid,恐れて,adjective,2
each,おのおのの,adjective,2
lucky,好運な,adjective,2
few,(aをつけ)少数の,adjective,2
cloudy,曇った,adjective,2
sure,確信して,adjective,2
enough,十分な,adjective,2
American,アメリカの,adjective,2
wide,幅が広い,adjective,2
important,重要な,adjective,2
great,すばらしい，広大な,adjective,2
yellow,黄色の,adjective,2
wine,ワイン,noun,3
arrow,矢,noun,3
branch,枝,noun,3
taxi,タクシー,noun,3
grape,ブドウ,noun,3
snake,蛇,noun,3
statue,像,noun,3
brush,筆,noun,3
palace,宮殿,noun,3
London,ロンドン,noun,3
zoo,動物園,noun,3
entrance,入り口，入学,noun,3
gym,体育館,noun,3
tower,塔,noun,3
Europe,ヨーロッパ,noun,3
host,主人,noun,3
dad,お父ちゃん,noun,3
elephant,象,noun,3
soup,スープ,noun,3
tie,ネクタイ,noun,3
fox,キツネ,noun,3
jeans,ジーンズ,noun,3
jam,ジャム，混雑,noun,3
suit,スーツ,noun,3
ticket,切符,noun,3
Canada,カナダ,noun,3
fence,塀,noun,3
England,イングランド,noun,3
Asia,アジア,noun,3
hall,玄関の広間，ろうか,noun,3
forest,森林,noun,3
mom,おかあちゃん,noun,3
engineer,エンジニア,noun,3
policeman,警官,noun,3
toy,おもちゃ,noun,3
umbrella,かさ,noun,3
frog,カエル,noun,3
bottle,びん,noun,3
ink,インク,noun,3
sofa,ソファー,noun,3
bomb,爆弾,noun,3
China,中国,noun,3
desert,砂漠,noun,3
Australia,オーストラリア,noun,3
beach,砂浜,noun,3
theater,劇場,noun,3
tent,テント,noun,3
restaurant,レストラン,noun,3
stranger,見知らぬ人,noun,3
driver,運転手,noun,3
enemy,敵,noun,3
husband,夫,noun,3
scientist,科学者,noun,3
bathroom,浴室,noun,3
runner,ランナー,noun,3
artist,芸術家,noun,3
visitor,訪問者,noun,3
cousin,いとこ,noun,3
sunset,日没,noun,3
trade,貿易,noun,3
match,試合,noun,3
death,死,noun,3
habit,習慣,noun,3
joy,喜び,noun,3
blood,血,noun,3
luck,運,noun,3
fishing,魚釣り,noun,3
president,大統領,noun,3
merchant,商人,noun,3
barber,床屋,noun,3
army,陸軍,noun,3
painter,画家,noun,3
reporter,レポーター,noun,3
God,神,noun,3
century,世紀,noun,3
goal,得点，ゴール,noun,3
training,トレイニング,noun,3
disease,病気,noun,3
tour,小旅行,noun,3
exam,試験,noun,3
flight,飛行,noun,3
film,映画,noun,3
mind,精神,noun,3
pain,痛み,noun,3
crowd,群衆,noun,3
guide,案内人,noun,3
queen,女王,noun,3
pal,友だち,noun,3
captain,船長,noun,3
neighbor,隣人,noun,3
prince,王子,noun,3
midnight,真夜中,noun,3
play,劇,noun,3
tear,涙,noun,3
concert,コンサート,noun,3
action,行動,noun,3
festival,祭り,noun,3
pop,ポピュラー音楽,noun,3
thought,考え,noun,3
promise,約束,noun,3
accident,事故,noun,3
custom,習慣,noun,3
waste,浪費,noun,3
use,使用,noun,3
reply,返事,noun,3
race,競走，人種,noun,3
stay,滞在,noun,3
valley,谷,noun,3
silver,銀,noun,3
heaven,天,noun,3
ocean,大洋,noun,3
soil,土,noun,3
billion,１０億,noun,3
couple,一対,noun,3
area,地域,noun,3
calendar,カレンダー,noun,3
signal,信号,noun,3
discussion,討論,noun,3
sign,合図，標識,noun,3
volleyball,バレーボール,noun,3
answer,答え,noun,3
stop,停留所,noun,3
courage,勇気,noun,3
iron,鉄,noun,3
universe,宇宙,noun,3
silk,絹,noun,3
wave,波,noun,3
root,根,noun,3
smoke,煙,noun,3
course,進路,noun,3
shade,陰,noun,3
prize,賞,noun,3
list,リスト,noun,3
page,ページ,noun,3
report,報告,noun,3
step,足元，階段,noun,3
secret,秘密,noun,3
quiz,クイズ,noun,3
care,世話，管理,noun,3
rush,殺到,noun,3
plant,植物,noun,3
gas,ガス,noun,3
climate,気候,noun,3
jewel,宝石,noun,3
rainbow,虹,noun,3
weather,天気,noun,3
model,模型,noun,3
point,点,noun,3
railway,鉄道,noun,3
mark,印,noun,3
bowl,鉢,noun,3
lip,くちびる,noun,3
net,網,noun,3
melon,メロン,noun,3
poem,詩,noun,3
menu,メニュー,noun,3
gram,グラム,noun,3
cent,セント,noun,3
address,住所,noun,3
damage,被害,noun,3
sort,種類,noun,3
reason,理由，原因,noun,3
kilometer,キロメートル,noun,3
middle,中央,noun,3
shock,ショック,noun,3
centimeter,センチメートル,noun,3
zone,地帯,noun,3
toast,トースト,noun,3
curtain,カーテン,noun,3
juice,ジュース,noun,3
honey,蜂蜜,noun,3
goods,商品,noun,3
sense,感じ,noun,3
type,型,noun,3
symbol,象徴,noun,3
energy,エネルギー,noun,3
position,位置，地位,noun,3
gray,灰色,noun,3
bit,少し,noun,3
matter,問題，困ったこと,noun,3
power,力,noun,3
sentence,文,noun,3
yen,円,noun,3
grade,評点，等級,noun,3
plate,皿,noun,3
cheese,チーズ,noun,3
can,カン,noun,3
treasure,宝物,noun,3
hole,穴,noun,3
price,価格,noun,3
problem,問題,noun,3
fact,事実,noun,3
beauty,美,noun,3
pair,一組,noun,3
